id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
161,B36,162,78,72,45,67,92,167,341,344,296,242,264,299,331,383,491,470,481,437,370,316,262,201,186,6397
162,B74,0,0,0,0,0,0,0,50,51,58,71,72,71,81,93,128,120,130,118,119,146,96,59,11,1474
163,M79-SBS,67,27,16,14,17,36,79,119,130,125,128,150,185,214,257,286,243,216,164,134,116,97,67,53,2940
164,M102,35,11,0,0,0,9,47,77,48,91,122,116,139,132,185,183,200,221,192,161,97,64,63,52,2245
165,M101,103,54,1,0,15,23,43,113,146,144,144,165,149,157,185,197,163,163,112,102,151,164,111,78,2683
166,M103,29,0,0,0,0,11,47,68,55,35,57,49,98,93,109,142,142,142,102,71,47,84,49,39,1469
167,M23-SBS,77,33,8,13,3,5,25,29,43,64,139,147,168,154,175,173,153,107,92,83,62,32,54,46,1885
168,M60-SBS,32,24,1,0,0,0,0,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
169,Bx12-SBS,1,0,0,0,0,1,193,529,587,545,565,577,698,786,904,1035,1021,1022,871,774,652,479,254,78,11572
170,M34A-SBS,42,0,0,0,3,11,46,63,74,57,59,52,78,82,99,117,135,139,124,114,77,64,41,37,1514
171,M86-SBS,87,58,22,21,26,71,152,190,190,191,231,232,272,309,327,335,315,289,250,179,175,148,120,122,4312
172,B46-SBS,4,0,0,0,0,0,96,286,350,384,412,415,436,440,480,565,586,610,480,413,394,336,268,120,7075
173,B44-SBS,2,0,0,0,0,0,102,364,371,317,379,394,421,413,508,575,578,524,482,408,401,275,129,56,6699
174,M14D-SBS,264,102,65,51,58,178,311,417,445,431,476,537,603,609,667,718,693,627,622,596,519,384,231,231,9835
175,Bx41-SBS,0,0,0,0,0,15,197,227,255,221,233,266,241,255,281,300,275,263,274,273,257,120,2,0,3955
176,M14A-SBS,231,101,58,60,82,112,236,285,278,276,322,340,383,385,471,512,513,530,447,437,400,308,190,178,7135
177,M15,103,119,91,88,59,25,42,99,105,113,101,99,119,112,129,136,121,123,87,81,77,82,57,59,2227
178,M35,36,0,0,0,0,24,112,155,136,124,108,113,131,115,143,190,190,192,141,156,153,82,80,45,2426
179,Q44-SBS,0,0,0,13,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
180,M34-SBS,22,1,0,0,0,0,7,50,52,59,65,78,83,85,81,102,101,110,100,103,84,52,29,9,1273
181,M15-SBS,7,0,0,0,0,0,3,253,569,720,775,941,965,1074,1340,1529,1550,1478,1325,1237,1109,795,469,171,16310
182,M55,0,0,0,0,0,0,0,24,28,40,39,39,41,58,71,84,62,57,51,24,12,6,9,8,653
183,M8,0,3,0,0,0,0,0,0,11,19,27,29,32,25,28,29,58,59,28,17,16,5,2,3,391
184,Q1,10,65,43,34,64,117,168,197,156,111,116,145,133,152,151,155,151,140,129,133,98,77,49,37,2631
185,Q88,33,0,0,0,0,0,49,182,224,251,244,239,330,377,453,509,459,402,342,334,361,256,159,48,5252
186,S48,176,107,119,97,120,157,245,300,270,248,266,308,380,405,410,441,373,372,334,267,235,216,129,128,6103
187,S52,90,61,2,0,0,53,175,183,161,150,181,230,178,148,142,185,241,279,294,235,154,139,119,119,3519
188,S40,134,161,144,152,160,194,244,316,212,88,118,151,163,253,243,219,179,184,216,226,165,142,125,93,4282
189,S66,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
190,S51,82,88,105,75,81,160,173,180,166,154,125,143,138,132,156,173,181,135,113,139,117,106,108,122,3152
191,S76,30,0,0,0,0,0,42,117,139,134,160,143,151,156,192,204,187,166,165,172,149,122,117,98,2644
192,S81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,S53,229,154,159,142,145,209,372,591,604,557,587,585,638,628,665,725,654,677,599,577,480,365,240,177,10759
194,S96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,S98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,S93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,B84,0,0,0,0,0,0,0,0,0,0,10,19,13,10,52,62,80,87,27,0,0,0,0,0,360
198,B64,124,48,0,0,2,153,172,273,231,286,313,361,381,403,413,452,473,426,318,269,208,130,57,46,5539
199,B60,186,144,132,121,85,141,208,308,339,330,365,387,388,376,447,475,547,552,477,389,361,322,205,161,7446
200,B57,96,39,0,0,30,172,279,320,323,324,340,339,333,307,330,332,356,383,372,340,235,218,172,144,5784
201,B31,49,15,0,0,0,57,93,163,121,126,134,144,117,126,156,175,170,128,75,73,127,92,65,68,2274
202,Q5,246,97,39,23,94,172,172,337,302,367,400,412,467,582,635,770,740,650,573,491,504,480,372,244,9169
203,Q42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Q4,198,193,115,65,91,141,192,268,264,256,259,286,252,278,358,394,423,418,410,342,375,326,269,216,6389
205,Q30,129,6,0,0,0,96,244,311,381,377,317,337,316,316,414,400,362,382,346,285,225,190,165,152,5751
206,Q3,247,216,177,161,259,292,316,396,333,352,320,391,416,405,457,526,504,454,455,363,418,413,310,243,8424
207,Q17,155,100,47,54,101,160,363,684,807,908,854,849,887,808,808,958,957,1056,857,836,731,476,330,257,14043
208,Q85,264,222,113,120,84,256,425,511,461,393,427,455,480,509,501,593,618,626,634,545,466,337,213,207,9460
209,M66,114,10,0,0,0,78,107,173,141,119,169,199,290,316,380,433,403,392,341,339,298,232,191,158,4883
210,M72,27,0,0,0,0,0,38,90,131,146,183,199,234,247,274,321,334,351,302,297,228,130,89,61,3682
211,M57,28,4,0,0,0,0,10,32,54,42,45,45,61,78,82,86,73,91,100,89,69,74,62,62,1187
212,B2,14,0,0,0,0,43,48,97,135,109,106,121,118,113,133,124,138,132,96,140,114,62,14,22,1879
213,B82-SBS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
214,Q77,0,0,0,0,0,0,53,242,281,257,232,220,204,189,183,240,290,264,270,238,212,131,40,0,3546
215,B48,125,52,40,44,57,134,187,164,110,134,171,200,264,291,286,274,264,265,253,226,163,151,126,114,4095
216,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Q43,93,74,122,144,156,288,511,587,458,382,439,483,377,306,252,366,378,345,308,265,207,191,158,143,7033
218,Q83,120,83,83,76,106,193,307,385,285,269,244,233,235,177,227,284,335,307,278,281,224,217,184,134,5267
219,S91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,S94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,S44,79,2,0,0,11,51,140,159,194,211,258,336,342,353,383,432,420,448,404,318,258,193,157,133,5282
222,S78,238,225,235,175,206,278,276,374,353,288,290,326,315,321,353,378,420,452,373,281,223,197,224,254,7055
223,S74,195,168,135,141,140,230,265,391,364,335,336,368,366,347,380,539,466,406,324,287,285,246,245,213,7172
224,S56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,S46,178,165,167,147,142,164,224,235,209,181,243,280,254,237,275,322,343,341,329,273,199,154,132,119,5313
227,S42,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
228,S54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,S92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,S59,172,66,0,0,0,141,268,307,248,179,167,193,213,232,255,306,336,342,304,280,276,255,203,192,4935
231,S89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,S61,32,0,0,0,0,0,66,206,204,188,220,232,284,277,287,325,291,271,283,209,179,102,54,13,3723
233,S62,109,126,95,68,94,133,191,235,228,209,167,145,215,190,263,287,229,204,150,168,112,98,103,78,3897
234,Bx24,14,0,0,0,0,9,48,65,117,103,80,100,73,105,133,140,116,148,79,98,72,82,81,36,1699
235,Q84,124,63,0,0,0,4,94,236,252,206,186,180,198,200,190,214,203,201,161,166,173,133,94,62,3340
236,Bx18,0,0,0,0,0,0,0,52,89,83,94,97,94,86,63,55,55,50,61,48,42,38,1,0,1008
237,S79-SBS,162,7,0,0,7,213,563,834,882,788,802,790,818,809,896,999,1042,1075,916,846,777,589,458,348,14621
238,S57,0,0,0,0,0,0,18,104,104,103,134,133,84,103,115,150,185,191,154,137,147,119,60,12,2053
239,Q34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Q66,80,135,162,160,134,163,120,197,162,141,239,255,267,274,336,326,327,303,283,229,193,136,94,55,4771
241,Q23,141,58,0,0,15,47,76,87,123,112,140,183,183,176,163,206,266,319,301,296,213,129,115,119,3468
242,Q25,114,65,50,41,58,129,170,205,167,143,163,183,212,192,281,400,327,260,204,242,256,128,118,90,4198
243,Q65,28,101,73,73,112,76,154,180,262,300,241,280,259,236,276,304,236,224,199,152,151,152,108,65,4242
244,Q19,0,0,0,0,0,0,0,0,0,9,12,19,11,0,17,90,86,66,41,57,72,9,0,0,489
245,BM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,BM2,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,37
247,BM5,0,0,0,0,0,0,0,0,12,6,0,0,17,10,16,2,0,0,16,4,0,0,0,0,83
248,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
