id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
296,Q35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Q69,147,46,0,0,0,46,321,501,735,903,829,756,917,961,1023,1130,1376,843,758,352,378,234,278,217,12751
298,Q33,236,244,78,2,134,379,373,161,319,239,306,645,691,577,775,1158,1053,1534,1191,1210,1112,396,260,180,13253
299,Q40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Q39,316,176,150,226,96,201,1002,864,612,245,455,419,610,746,620,848,676,794,444,559,606,613,538,388,12204
301,Q102,163,83,10,28,26,17,98,300,194,86,174,260,232,77,25,101,323,436,707,387,297,197,380,440,5041
302,Q29,30,2,0,0,12,187,267,197,221,266,249,305,8,328,358,958,1447,1340,999,454,171,152,195,80,8226
303,Q49,118,16,6,0,0,160,1071,1282,1230,1178,854,933,826,1158,1079,844,753,761,493,975,714,513,371,67,15402
304,Q67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,154,173,175,22,62,29,26,0,734
305,Q100,51,18,27,48,25,141,311,568,327,361,379,480,381,187,287,359,419,622,372,504,119,128,96,80,6290
306,Q104,0,0,0,0,0,0,258,235,298,191,364,303,604,1024,844,738,696,291,0,164,133,4,0,0,6147
