id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
319,Q53-SBS,9.7011,8.02494,5.20736,5.24062,8.51767,16.4921,18.0907,20.6779,19.5992,16.1527,16.5473,17.4323,20.7165,21.2635,24.0812,24.3805,23.4275,24.6612,19.6717,17.0833,14.6029,13.396,15.8197,14.4561,18.4202
320,Q70-SBS,3.40758,1.9116,2.60428,4.85922,4.85714,4.92222,7.14319,3.94658,4.47194,5.32009,6.88713,8.84924,9.49917,8.11053,7.90715,6.46636,5.46045,5.48693,4.57598,4.94313,6.72727,4.21913,4.65315,4.01115,5.94347
321,Q101,3.36842,1.4,1.0,3.88889,1.0,4.8,6.80952,6.9,5.5,3.78125,5.6383,6.15385,6.82353,5.984,7.90987,7.96296,8.01703,7.26364,6.89124,5.0117,4.71264,3.50538,3.0,3.74783,6.34606
322,SIM1C,9.27252,4.46429,2.70936,4.152,7.18476,9.51246,8.85646,8.36969,8.11277,7.34046,6.64344,6.43173,7.5671,10.195,11.3633,9.38476,6.9659,7.2904,7.09268,7.36871,7.13082,6.84106,7.89362,9.8073,8.048
323,SIM35,0.0,0.0,0.0,0.0,0.0,5.58929,4.47347,4.03871,4.22321,3.06122,0.0,0.0,0.0,0.0,0.0,4.27161,5.56757,4.46275,3.54922,2.28571,0.0,0.0,0.0,0.0,4.22235
324,SIM32,0.0,0.0,0.0,0.0,0.0,0.0,4.35433,3.99242,4.87766,4.0,0.0,0.0,0.0,0.0,0.0,3.5,5.6473,4.67917,3.31646,2.02381,0.0,0.0,0.0,0.0,4.30221
325,B39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.61644,3.09195,3.76768,4.26882,4.325,3.82857,4.22115,4.09859,3.5625,4.0,3.01961,2.04688,2.35556,1.33333,0.0,0.0,3.39717
326,B32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70552,3.0,2.80137,2.3022,2.50877,2.95349,3.21519,4.42017,3.58491,3.97491,3.43541,3.90288,2.31381,1.9466,2.35789,0.0,0.0,3.12263
327,S55,0.0,0.0,0.0,0.0,0.0,0.0,1.81818,1.57669,1.88889,2.03279,2.26994,2.04167,2.14545,2.25,2.49474,2.58403,2.7732,1.80347,1.55932,1.4086,0.0,0.0,0.0,0.0,2.1468
328,S86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08247,5.49074,5.87931,0.0,0.0,0.0,0.0,0.0,6.1635
329,S90,0.0,0.0,0.0,0.0,7.44898,25.775,26.8792,9.98425,7.23529,0.0,0.0,0.0,0.0,0.0,0.0,20.4681,18.1778,29.415,16.0743,7.15385,9.38095,15.625,10.9333,15.6038,18.2959
330,QM35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,QM40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Bx99,1.0,12.4211,12.5004,12.5177,11.5126,6.58486,2.63462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1828
333,M99,0.0,8.0,7.34805,7.44474,7.47619,4.26971,4.18182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1232
334,B99,0.0,10.0702,9.12717,9.32143,10.1929,6.88863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34013
