id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
272,QM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,BxM7,0,0,0,0,0,15,3,0,0,0,0,0,0,0,4,12,6,0,0,0,0,0,0,0,40
274,QM16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,QM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,BxM8,0,0,0,0,0,0,0,10,12,0,0,6,5,0,0,0,0,0,0,7,0,0,0,0,40
277,QM34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,BxM10,0,0,0,0,0,0,12,3,0,7,6,0,12,10,13,6,1,11,0,0,0,0,0,0,81
279,QM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,BM1,5,0,0,0,0,0,24,57,59,86,15,4,12,8,0,13,57,90,106,62,8,13,5,14,638
281,QM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,QM31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,QM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Q22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Q41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Q6,29,0,0,0,0,2,20,13,6,0,0,0,13,19,19,44,52,47,41,42,51,24,32,48,502
287,Q37,0,0,0,0,0,0,0,0,0,0,2,14,5,9,18,23,24,24,31,29,0,0,0,0,179
288,Q7,0,0,0,0,0,0,42,41,13,6,0,0,10,29,43,25,4,0,0,0,5,31,24,7,280
289,Q10,306,328,359,330,421,563,1002,1269,1088,1106,940,1075,1044,1069,1115,912,1010,893,970,944,800,546,481,333,18904
290,Q111,20,9,15,15,6,23,65,128,81,58,38,56,71,69,88,113,103,59,50,36,21,3,29,35,1191
291,Q113,0,0,0,0,0,0,8,13,0,14,1,0,8,17,13,51,55,43,67,43,1,8,0,0,342
292,Q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Q64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Q110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Q60,24,174,333,434,365,178,41,17,31,67,59,77,50,53,52,64,42,28,38,33,54,38,24,29,2305
296,Q35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Q69,110,51,0,0,0,79,229,314,405,458,364,415,482,455,530,545,578,546,579,398,286,197,139,152,7312
298,Q33,125,99,73,42,102,193,224,220,170,171,187,230,240,128,191,326,450,414,442,362,312,321,275,142,5439
299,Q40,6,13,6,0,0,0,0,0,8,15,0,0,0,0,0,0,4,8,3,0,0,0,4,5,72
300,Q39,158,116,134,135,104,150,368,442,444,247,299,326,308,336,378,450,455,419,414,315,265,249,245,174,6931
301,Q102,152,98,57,71,83,63,133,183,194,161,114,109,69,36,53,119,223,246,247,218,218,178,234,212,3471
