,Time,Borough,Passenger Count
840,10:0,Total,5921
841,10:0,Brooklyn,2824
842,10:0,Bronx,1113
843,10:0,Queens,1307
844,10:0,Manhattan,234
845,10:0,Staten Island,300
846,10:0,Other,143
847,10:4,Total,5905
848,10:4,Brooklyn,2729
849,10:4,Bronx,1145
850,10:4,Queens,1344
851,10:4,Manhattan,222
852,10:4,Staten Island,317
853,10:4,Other,148
854,10:9,Total,5912
855,10:9,Brooklyn,2822
856,10:9,Bronx,1116
857,10:9,Queens,1288
858,10:9,Manhattan,228
859,10:9,Staten Island,326
860,10:9,Other,132
861,10:14,Total,6087
862,10:14,Brooklyn,2807
863,10:14,Bronx,1180
864,10:14,Queens,1376
865,10:14,Manhattan,269
866,10:14,Staten Island,302
867,10:14,Other,153
868,10:20,Total,5892
869,10:20,Brooklyn,2714
870,10:20,Bronx,1161
871,10:20,Queens,1335
872,10:20,Manhattan,234
873,10:20,Staten Island,318
874,10:20,Other,130
875,10:25,Total,6026
876,10:25,Brooklyn,2698
877,10:25,Bronx,1248
878,10:25,Queens,1355
879,10:25,Manhattan,286
880,10:25,Staten Island,319
881,10:25,Other,120
882,10:30,Total,5939
883,10:30,Brooklyn,2655
884,10:30,Bronx,1247
885,10:30,Queens,1367
886,10:30,Manhattan,260
887,10:30,Staten Island,324
888,10:30,Other,86
889,10:34,Total,6278
890,10:34,Brooklyn,2774
891,10:34,Bronx,1309
892,10:34,Queens,1523
893,10:34,Manhattan,226
894,10:34,Staten Island,359
895,10:34,Other,87
896,10:40,Total,6308
897,10:40,Brooklyn,2814
898,10:40,Bronx,1309
899,10:40,Queens,1514
900,10:40,Manhattan,278
901,10:40,Staten Island,312
902,10:40,Other,81
903,10:45,Total,6380
904,10:45,Brooklyn,2822
905,10:45,Bronx,1416
906,10:45,Queens,1431
907,10:45,Manhattan,330
908,10:45,Staten Island,307
909,10:45,Other,74
910,10:49,Total,6227
911,10:49,Brooklyn,2754
912,10:49,Bronx,1381
913,10:49,Queens,1405
914,10:49,Manhattan,311
915,10:49,Staten Island,304
916,10:49,Other,72
917,10:54,Total,6064
918,10:54,Brooklyn,2702
919,10:54,Bronx,1327
920,10:54,Queens,1397
921,10:54,Manhattan,268
922,10:54,Staten Island,307
923,10:54,Other,63
924,11:0,Total,5989
925,11:0,Brooklyn,2766
926,11:0,Bronx,1271
927,11:0,Queens,1271
928,11:0,Manhattan,293
929,11:0,Staten Island,331
930,11:0,Other,57
931,11:4,Total,6301
932,11:4,Brooklyn,2994
933,11:4,Bronx,1313
934,11:4,Queens,1280
935,11:4,Manhattan,307
936,11:4,Staten Island,349
937,11:4,Other,58
938,11:9,Total,6285
939,11:9,Brooklyn,3001
940,11:9,Bronx,1327
941,11:9,Queens,1193
942,11:9,Manhattan,326
943,11:9,Staten Island,378
944,11:9,Other,60
945,11:14,Total,6205
946,11:14,Brooklyn,3011
947,11:14,Bronx,1195
948,11:14,Queens,1219
949,11:14,Manhattan,322
950,11:14,Staten Island,387
951,11:14,Other,71
952,11:20,Total,6337
