id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
311,Q103,0,0,0,0,0,106,296,554,351,46,3,91,206,303,797,998,819,579,475,377,198,96,0,0,6295
312,Q72,436,125,0,0,461,1308,3053,3110,2468,2316,2538,3194,4546,5130,5199,6764,6273,7734,6957,5212,3191,1758,1446,824,74043
313,Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,448,234,118,30,171,7,0,1032
314,B100,45,23,0,0,0,362,1409,3862,3892,2668,1589,1322,1901,3667,3535,3821,4332,4495,3496,2201,1305,360,211,123,44619
315,B103,3003,1296,262,0,1,4983,6159,13748,13551,10742,10288,10646,15367,16057,23237,22569,20146,21198,19451,12120,9558,6371,4473,3098,248324
316,Q52-SBS,1376,97,0,0,0,1157,5084,7970,8811,8073,6900,6847,7605,11153,19194,24018,22938,21226,17880,11871,7533,4998,3830,2385,200946
317,Q114,0,284,142,159,153,808,16,0,429,339,427,606,614,1310,893,396,730,2191,1519,1227,1075,199,173,0,13690
318,Q38,224,0,0,0,0,287,1674,3056,2499,2244,2027,1968,2783,3707,4636,5552,7267,6959,5884,4143,2420,1361,1068,706,60465
319,Q53-SBS,4414,3218,2687,2374,4821,11462,15359,25227,19854,17881,17143,18548,24404,24857,33232,42349,42193,44982,38045,28700,19451,14749,13336,8240,477526
320,Q70-SBS,719,346,487,1001,1020,1772,3093,1847,1753,2410,3478,4637,5690,6237,6302,5574,3866,3358,3162,3564,4662,2426,2066,1079,70549
321,Q101,64,21,2,70,7,192,429,483,198,121,265,640,812,748,1843,3225,3295,2397,2281,857,820,652,429,431,20282
322,SIM1C,8132,2250,550,1038,3772,5346,3702,4528,4892,9271,8105,7866,10488,16883,21738,15391,7558,6226,6199,8054,10411,8996,9646,8601,189643
323,SIM35,0,0,0,0,0,313,1096,1252,946,450,0,0,0,0,0,346,1030,1138,685,112,0,0,0,0,7368
324,SIM32,0,0,0,0,0,0,553,1054,917,236,0,0,0,0,0,21,1361,1123,786,170,0,0,0,0,6221
325,B39,0,0,0,0,0,0,0,103,191,269,373,397,346,268,439,291,171,224,154,131,212,32,0,0,3601
326,B32,0,0,0,0,0,0,0,441,423,409,419,572,762,762,1052,950,1109,718,1085,553,401,224,0,0,9880
327,S55,0,0,0,0,0,0,120,257,187,248,370,196,354,369,711,615,538,312,184,131,0,0,0,0,4592
328,S86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,593,341,0,0,0,0,0,1621
329,S90,0,0,0,0,365,1031,8897,1268,615,0,0,0,0,0,0,962,3272,4324,2813,744,394,250,328,827,26090
330,QM35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,QM40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Bx99,1,7788,16363,16248,15047,5393,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61114
333,M99,0,3416,8656,8353,8635,2058,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31164
334,B99,0,5448,11053,10962,11253,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41685
