id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
146,B54,3.14839,2.00752,2.31,2.39623,3.4375,5.92946,10.2169,11.3825,12.8125,9.18829,9.43289,11.1783,12.1318,11.9577,11.586,13.0083,13.7208,13.2307,10.4187,6.97219,6.7511,4.9769,4.72892,5.60967,10.3465
147,Q54,4.71117,5.6886,6.72727,6.53886,7.18538,9.67899,11.2294,12.632,12.6472,10.345,10.3986,9.60877,9.91504,10.0949,11.3171,12.3995,12.5698,12.5881,10.7656,9.64693,8.11159,5.41231,6.02754,5.58125,10.254
148,Bx29,2.78788,1.0,0.0,0.0,4.775,4.41989,3.35252,3.92491,5.01799,5.5042,6.03804,6.50802,6.7957,7.98485,7.1391,7.37037,7.70833,6.31902,4.30368,3.97736,3.79018,3.98824,5.26744,3.50388,5.4523
149,B25,7.55372,7.32941,10.8431,3.89474,11.8889,4.54321,6.32086,7.475,8.26049,8.53729,10.4161,10.2922,10.4119,10.8339,10.889,11.9063,11.4826,11.0702,9.10688,6.77512,5.35129,5.42183,4.5502,3.88785,9.42097
150,B83,5.23664,2.17391,0.0,0.0,2.64286,6.68229,8.97761,7.76962,9.9017,8.08655,11.2365,13.0381,14.5423,13.2341,14.4268,13.377,17.3662,15.0449,11.6803,8.19905,7.15072,6.99485,7.09119,5.15584,10.9415
151,Q56,12.6489,13.716,4.68,6.18939,11.6,7.9186,7.80496,8.37639,7.78807,7.9,8.83932,9.62172,10.0846,9.50716,11.4745,12.0456,10.881,11.9315,8.91906,7.35845,6.9242,4.29553,3.68065,3.57209,9.15301
152,B47,3.9949,2.9708,2.40404,2.55435,4.78261,5.19209,7.65031,8.87722,10.4098,9.17703,10.1673,12.6594,12.7179,15.1956,15.1747,16.0579,17.0735,16.9074,11.5966,10.2507,7.85287,7.2993,6.54756,6.10703,11.3034
153,B20,6.96537,8.264,19.75,0.0,2.5,5.19,4.99199,7.30189,8.55862,7.44662,7.63668,7.80795,8.41082,10.3769,10.3711,10.8594,10.5458,10.3506,7.77127,5.62603,5.3375,5.38169,5.81784,5.87679,8.06879
154,B49,3.17814,2.56863,1.66667,0.0,4.30882,6.21978,4.99279,7.35932,9.0863,7.07488,6.09969,6.42566,7.57183,7.83067,7.99523,8.59142,8.16752,8.72526,6.47475,5.23066,5.26219,3.66524,3.95181,3.30159,6.8773
155,Q27,3.5791,2.53171,2.05941,2.1413,4.94969,8.04897,10.0096,6.79942,6.56399,7.32437,7.95139,7.23176,7.72745,7.74837,7.74223,7.25012,7.6697,8.84993,7.28491,5.75937,4.52748,6.09651,4.48533,4.54587,6.90879
156,B62,3.1016,3.09333,6.70874,5.66055,4.79641,4.8264,6.86506,6.87261,6.68148,5.35182,5.68812,7.34385,7.72414,8.87903,8.72417,8.60726,10.1061,9.32787,7.19587,5.36531,4.38657,4.68271,4.54788,4.11006,6.93136
157,B38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,B42,5.50909,3.2623,2.10526,4.12,11.6667,15.6548,12.4969,8.90182,10.7091,9.63131,10.4303,9.33871,8.75714,12.5101,13.083,11.7674,11.5099,11.3909,8.69091,7.76133,6.29217,5.18067,4.76506,4.70103,9.40178
159,B6,7.04579,5.07595,4.86667,7.13504,6.4089,7.67212,10.0507,11.6604,12.1808,10.2698,9.22534,8.90092,9.81566,11.6683,12.7744,13.1926,14.0333,14.0175,10.7675,8.67146,7.47385,6.25561,6.33157,6.4914,10.4185
160,B3,6.64019,2.36735,1.61111,2.06383,3.21053,5.0049,7.78718,11.374,11.7435,10.9466,12.8168,12.0645,11.9091,11.146,12.1918,13.7807,15.5878,17.0877,12.4549,8.38535,6.80369,6.68421,6.39149,5.99728,11.2758
161,B36,3.47236,2.225,4.69643,2.5614,4.48837,4.78431,7.19527,8.26783,9.73207,9.37794,11.1702,11.2455,11.5316,11.8416,11.7534,11.4411,11.8351,11.4805,8.36831,6.85004,6.80028,6.11175,4.68767,4.03529,9.49807
162,B74,0.0,0.0,0.0,0.0,0.0,7.22105,8.32877,8.60897,10.2724,8.27885,7.3822,10.0914,10.2398,10.0796,10.6358,9.7723,11.4363,11.3061,7.88462,6.92033,6.87037,5.32323,3.87313,3.59091,8.80779
